Ticket ID,Vehicle ID/Chasis No,Battery ID,Issue,Resolved Type,Location,Technician Name,Created Time
7256,DL8EV4214,ZENE4043,Other,,Delhi,,"4/1/2026, 12:30:50 PM"
7257,MH02GK1463,ZENF0413,Other,,Mumbai,,"4/1/2026, 12:52:43 PM"
7258,MH02GK1520,ZENE9449,Other,,Mumbai,,"4/1/2026, 12:59:19 PM"
7259,NA,ZENE5193,Chagori Melt,,Delhi,,"4/1/2026, 1:38:20 PM"
7260,NA,ZENE5369,Chagori Melt,,Delhi,,"4/1/2026, 1:41:26 PM"
7261,NA,ZENE0459,Oil Leakage,,Delhi,,"4/1/2026, 1:42:33 PM"
7262,NA,ZENE2339,Other,,Delhi,,"4/1/2026, 1:43:47 PM"
7263,NA,ZENE0859,Other,,Delhi,,"4/1/2026, 1:44:58 PM"
7264,NA,ZENE3796,Battery Not Charging,,Delhi,,"4/1/2026, 1:46:06 PM"
7265,NA,ZENE4870,Oil Leakage,,Delhi,,"4/1/2026, 1:47:24 PM"
7266,NA,ZENE6699,Other,,Delhi,,"4/1/2026, 1:50:08 PM"
7267,NA,ZENE0360,Other,,Delhi,,"4/1/2026, 1:51:50 PM"
7268,NA,ZENE5736,Other,,Delhi,,"4/1/2026, 1:54:27 PM"
7269,MH04MX1625,ZENE8731,Other,,Mumbai,,"4/1/2026, 2:09:52 PM"
7270,MH02GK0484,ZENE2703,Other,,Mumbai,,"4/1/2026, 2:11:24 PM"
7271,MH04MX0433,ZENE1229,Other,,Mumbai,,"4/1/2026, 2:15:23 PM"
7272,MH04MX0580,ZENE9490,Other,,Mumbai,,"4/1/2026, 2:24:17 PM"
7273,DL4GD9262,ZENE4690,Chagori Melt,,Delhi,,"4/1/2026, 2:42:12 PM"
